Test Scenario ID | Test Case ID | Test Case Description | Prerequisites | Steps to Execute | Expected Results | Actual Results | Pass/Fail | Defect ID | Remarks | Method
UM_TS_02 | UM_TC_10 | Verify successful login of an Influencer user with valid credentials. | Registered Influencer user account ("influencer@gmail.com" / "influencer@123"). | 1. Navigate to login page. 2. Enter Email: "influencer@gmail.com". 3. Enter Password: "influencer@123". 4. Click "Login" button. | Redirection to Dashboard page (/dashboard), popup with message containing "Login successful!" displayed, and user can log out successfully. | User redirected to dashboard, "Login successful!" popup appeared, and logged out successfully. | Pass | None | None | login (Data-driven)
UM_TS_02 | UM_TC_11 | Verify login failure with registered email but incorrect password. | Registered user account ("brand@gmail.com"). | 1. Navigate to login page. 2. Enter Email: "brand@gmail.com". 3. Enter Password: "WrongPass@999". 4. Click "Login" button. | Login fails, displaying validation error message: "Invalid email or password". | Login failed, captured error message: "Invalid email or password". | Pass | None | None | login (Data-driven)
UM_TS_02 | UM_TC_12 | Verify login failure with an unregistered email address. | None. | 1. Navigate to login page. 2. Enter Email: "notregistered@gmail.com". 3. Enter Password: "Pass@12345". 4. Click "Login" button. | Login fails, displaying validation error message: "Invalid email or password". | Login failed, captured error message: "Invalid email or password". | Pass | None | None | login (Data-driven)
UM_TS_02 | UM_TC_13 | Verify login is blocked when the email field is left empty. | None. | 1. Navigate to login page. 2. Leave Email field empty and touch it. 3. Enter Password: "Pass@12345". 4. Observe validation. | Login button is disabled, inline validation error message containing "required" is displayed. | Login button disabled, captured validation error message: "required". | Pass | None | None | login (Data-driven)
UM_TS_02 | UM_TC_14 | Verify login is blocked when the password field is left empty. | None. | 1. Navigate to login page. 2. Enter Email: "brand@gmail.com". 3. Leave Password field empty and touch it. 4. Observe validation. | Login button is disabled, inline validation error message containing "required" is displayed. | Login button disabled, captured validation error message: "required". | Pass | None | None | login (Data-driven)
UM_TS_03 | UM_TC_15 | Verify user logout redirects the user back to the login page. | Valid logout test credentials in campaign_data.json ("brand@gmail.com" / "brand@123"). | 1. Navigate to login page and log in. 2. Click user menu button on Dashboard. 3. Click "Logout" button. 4. Verify URL redirect. | User is logged out and the current URL redirects back to the login page (/login). | User was logged out and redirected successfully to: https://sponsorship-front.netlify.app/login | Pass | None | None | verifyLogoutRedirectsToLogin
CM_TS_01 | CM_TC_01 | Verify successful login of Brand user as prerequisite for campaign management. | Registered Brand user ("brand@gmail.com" / "brand@123"). | 1. Navigate to login page. 2. Enter Email: "brand@gmail.com". 3. Enter Password: "brand@123". 4. Click "Login" button. | Login successful, user redirected to the dashboard, and a popup message "Login successful!" is displayed. | Login successful, redirected to dashboard, popup "Login successful!" displayed. | Pass | None | Establishes the driver session state for subsequent CM tests. | brandLogin (Data-driven)
CM_TS_02 | CM_TC_02 | Verify successful creation of an Instagram campaign with valid inputs. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Fill Name: "Summer Vibes IG 2026_[unique]". 4. Set Platform: "Instagram", Budget: "7500", etc. 5. Click Submit. | Campaign is created, and user is redirected back to campaigns list page (/campaigns). | Campaign successfully created, redirected back to: https://sponsorship-front.netlify.app/campaigns | Pass | None | Campaign name is dynamically appended with current time milliseconds. | createCampaign (Data-driven)
CM_TS_02 | CM_TC_03 | Verify successful creation of a YouTube campaign with valid inputs. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Fill Name: "Product Launch YT 2026_[unique]". 4. Set Platform: "YouTube", Budget: "12000", etc. 5. Click Submit. | Campaign is created, and user is redirected back to campaigns list page (/campaigns). | Campaign successfully created, redirected back to: https://sponsorship-front.netlify.app/campaigns | Pass | None | Campaign name is dynamically appended with current time milliseconds. | createCampaign (Data-driven)
CM_TS_02 | CM_TC_04 | Verify successful creation of a TikTok campaign with valid inputs. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Fill Name: "Viral Trend TT 2026_[unique]". 4. Set Platform: "TikTok", Budget: "5000", etc. 5. Click Submit. | Campaign is created, and user is redirected back to campaigns list page (/campaigns). | Campaign successfully created, redirected back to: https://sponsorship-front.netlify.app/campaigns | Pass | None | This campaign is deleted during CM_TC_12. | createCampaign (Data-driven)
CM_TS_02 | CM_TC_05 | Verify campaign creation is blocked when Name is missing. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Leave Name empty, fill other fields correctly. 4. Click Submit. | Form validation fails, creation is blocked, and user remains on /campaigns/new with errors. | Validation blocked submission, form remained open, validation errors displayed. | Pass | None | Angular form validation prevents form post. | createCampaignNegative (Data-driven)
CM_TS_02 | CM_TC_06 | Verify campaign creation is blocked when Budget is zero. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Enter Name: "Zero Budget Campaign", Budget: "0", fill other fields. 4. Click Submit. | Form validation fails, budget constraint error displays, creation blocked, remains on /campaigns/new. | Validation blocked submission, form remained open, validation errors displayed. | Pass | None | Budget validation checks positive numeric values. | createCampaignNegative (Data-driven)
CM_TS_02 | CM_TC_07 | Verify that clicking Cancel on the campaign creation form discards changes and returns user to campaigns list. | Brand user logged in (CM_TC_01). | 1. Go to Campaigns List. 2. Click "Create Campaign". 3. Enter Name: "Campaign to be cancelled". 4. Click "Cancel" button. | Input discarded, user redirected back to the campaigns list (/campaigns). | User successfully redirected back to the /campaigns page. | Pass | None | None | cancelCampaignCreation
CM_TS_03 | CM_TC_08 | Verify that the campaigns list loads and displays campaigns owned by the Brand. | At least one campaign exists for the Brand (CM_TC_02–04). | 1. Navigate to campaigns list page (/campaigns). 2. Wait for loading spinner to disappear. 3. Assert that campaign cards/rows are present (count > 0). | Campaigns list loads successfully showing at least one campaign card. | Campaigns list loaded and found count of campaigns > 0. | Pass | None | None | verifyCampaignListLoads
CM_TS_04 | CM_TC_09 | Verify that searching a campaign by partial name filters the list and shows the correct campaign. | Brand has an active campaign (e.g. the IG campaign created in CM_TC_02). | 1. Navigate to campaigns list. 2. Extract a 10-char prefix of the IG campaign name. 3. Type the partial name prefix into the search box. 4. Verify matching card is visible. | Substring search returns the targeted campaign in search results. | Search performed; the expected IG campaign was visible in the results. | Pass | None | Verifies live search substring matching. | searchCampaignByName
CM_TS_05 | CM_TC_10 | Verify that clicking on a campaign card opens the campaign detail view. | Brand has an active campaign (e.g. the IG campaign created in CM_TC_02). | 1. Navigate to campaigns list page. 2. Click on the IG campaign card. 3. Verify that the URL pattern matches /campaigns/{id}. | Navigation to details page is successful, URL matches /campaigns/\d+. | Navigated to detail page matching /campaigns/\d+ successfully. | Pass | None | None | viewCampaignDetail
CM_TS_06 | CM_TC_11 | Verify that an existing campaign can be edited (updating name and description). | Brand has an active campaign (e.g. the IG campaign created in CM_TC_02). | 1. Go to Campaigns List. 2. Click "Edit" on the IG campaign card. 3. Wait for form to populate. 4. Append " [EDITED]" to Name, edit Description. 5. Click Submit. | Campaign changes are updated, redirection to list page, changes are saved. | Campaign edited successfully, redirected to /campaigns list, and name change was saved. | Pass | None | Updates the runtime campaign reference name to include the suffix. | editExistingCampaign
CM_TS_07 | CM_TC_12 | Verify that a campaign can be deleted and it is removed from the campaigns list. | Brand has an active campaign (e.g. the TikTok campaign created in CM_TC_04). | 1. Go to Campaigns List. 2. Override browser native confirmation dialog to auto-accept. 3. Click "Delete" on the TikTok campaign. 4. Wait for it to disappear. | Campaign is deleted and disappears from the UI. | Campaign deleted successfully and disappeared from list. | Pass | None | Overrides native window.confirm in browser. | deleteCampaign
